=== Rubik's Cube Debug Log ===
Started: 2025-11-29 16:00:04
==============================

Application initialized successfully

DISPLAY: frame=1 angleX=0.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-5.0 angleY=0.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=75.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=70.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=65.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=60.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=55.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=50.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=45.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=40.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=35.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=30.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=25.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=20.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=15.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=10.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=5.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=0.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-5.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-10.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-15.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-20.0
DISPLAY: frame=91 angleX=-10.0 angleY=-20.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-25.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-30.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-35.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-40.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-45.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-50.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-55.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-60.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-65.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-70.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-75.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-80.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=-85.0
